scope,key,n,mean,std,q10,q25,median,q75,q90,p_continuation
bucket,M|f0=0|f1=0,13,0.9489852044034139,0.585442143260002,0.2666334718366901,0.4711028328940725,0.877906365734632,1.495763017340522,1.666259657011372,0.23076923076923078
bucket,W|f0=2|f1=2,11,-1.5234229250585836,0.8360675745630418,-2.4830739780618463,-2.23193906119904,-1.5136027330559139,-0.8016593053363481,-0.5235322624966529,0.5454545454545454
bucket,W|f0=0|f1=2,9,-1.1041046371637449,0.8760845306021755,-1.9205619739490774,-1.221256485165395,-1.0159095318051994,-0.49071354600778627,-0.3737422120206536,0.1111111111111111
bucket,M|f0=1|f1=1,3,1.2146283583612647,0.6023512780110778,0.7183462047603654,1.0122814562363784,1.5021735420297335,1.5607478523203853,1.5958924384947764,0.3333333333333333
bucket,M|f0=1|f1=0,14,1.3289843552108085,0.7726186702043015,0.6035503176063478,0.702696935226115,1.2362955426765572,1.5424775724014166,2.220126650229273,0.2857142857142857
bucket,M|f0=2|f1=0,5,1.3476968135212102,1.3258736797986679,0.5462627597763446,0.7647032461309919,0.7766336467381133,1.1212480998754695,2.653657223543126,0.8
bucket,W|f0=2|f1=1,9,-1.3061007452840137,0.4477759807758741,-1.7499112818188107,-1.6768586375186731,-1.4646299304008383,-1.1147536846565362,-0.7892632430257346,0.8888888888888888
bucket,W|f0=0|f1=1,8,-0.5502477324091154,0.5763857617901011,-1.1262871342516065,-0.8437331492312548,-0.26523744296248786,-0.17111659221608905,-0.1284030646247201,0.625
bucket,W|f0=1|f1=2,11,-1.5525767966036752,0.837251064512661,-2.7162001650473067,-1.8444681548073762,-1.658539323994838,-0.9795539583344243,-0.49078502776064475,0.36363636363636365
bucket,W|f0=1|f1=1,3,-1.4919927875584567,0.5396270143154628,-1.8561485501881385,-1.798582776360033,-1.7026398199798571,-1.2907263149675805,-1.0435782119602144,0.3333333333333333
bucket,M|f0=2|f1=1,6,2.227827430715428,0.9369817607763037,1.3159077314263694,1.4846210722282087,2.10243215164346,2.8730608583633472,3.265142409076456,0.3333333333333333
bucket,M|f0=0|f1=1,2,1.4365669321917411,0.391443402384197,1.2151331047704612,1.2981707900534412,1.4365669321917411,1.5749630743300413,1.6580007596130213,0.0
pattern,M,43,1.338722237710735,0.8585453255004737,0.4422000038102971,0.7073788066452112,1.2104713146413784,1.646887003444895,2.513815579938035,0.32558139534883723
pattern,W,51,-1.2628589333777052,0.7846776590142942,-2.298153725696999,-1.7502704312222086,-1.183389706982957,-0.5809484477072715,-0.26710252436353954,0.49019607843137253
global,global,94,-0.07277392958192934,1.5368078711343776,-1.8003481274408606,-1.2208311130731428,-0.23881382946893376,1.1755847951803613,1.6783170639427207,0.4148936170212766
